param,ALV,OCS
nsim,10,10
len_int,4,4
length_type,UF,TL
growth_model,Schnute,VBL0
max_length,292,342
max_age,22,25
Linf,245.8,309.4
Linf_sd,,154.32
Linf_se,,12.6
Linf_min,,
Linf_max,,
Linf_dist,fixed,fixed
K,0.136,0.085
K_sd,,
K_se,,
K_min,,
K_max,,
K_dist,fixed,fixed
t0,-2.19,64
t0_sd,,
t0_se,,
t0_min,,
t0_max,,
t0_dist,fixed,fixed
lwa,0.000188,0.0000166
lwa_sd,,
lwa_se,,
lwa_min,,
lwa_max,,
lwa_dist,fixed,fixed
lwb,2.519,2.891
lwb_sd,,
lwb_se,,
lwb_min,,
lwb_max,,
lwb_dist,fixed,fixed
Lm,160,190
Lm_sd,,
Lm_se,,
Lm_min,,
Lm_max,,
Lm_dist,fixed,fixed
L50,215,193.4
L50_sd,,
L50_se,45.8,
L50_min,,
L50_max,,
L50_dist,fixed,fixed
r,0.2409,0.08
r_sd,,
r_se,,
r_min,,
r_max,,
r_dist,fixed,fixed
L0,81,64
L0_sd,,
L0_se,,
L0_min,,
L0_max,,
L0_dist,fixed,fixed
M,0.226,0.18
M_se,,
M_sd,,
M_min,0.194,0.1
M_max,0.289,0.26
M_dist,fixed,fixed
min_depth,0,0
min_depth_sd,,
min_depth_se,,
min_depth_min,0,0
min_depth_max,,
min_depth_dist,fixed,fixed
max_depth,400,120
max_depth_sd,,
max_depth_se,,
max_depth_min,400,120
max_depth_max,650,1000
max_depth_dist,fixed,fixed
schnute_len1,70.8,
schnute_len1_sd,,
schnute_len1_se,,
schnute_len1_min,,
schnute_len1_max,,
schnute_len1_dist,fixed,fixed
schnute_len2,,
schnute_len2_sd,,
schnute_len2_se,,
schnute_len2_min,,
schnute_len2_max,,
schnute_len2_dist,fixed,fixed
schnute_age1,0.125,
schnute_age1_sd,,
schnute_age1_se,,
schnute_age1_min,,
schnute_age1_max,,
schnute_age1_dist,fixed,fixed
schnute_age2,,
schnute_age2_sd,,
schnute_age2_se,,
schnute_age2_min,,
schnute_age2_max,,
schnute_age2_dist,fixed,fixed
schnute_a,,
schnute_a_sd,,
schnute_a_se,,
schnute_a_min,,
schnute_a_max,,
schnute_a_dist,fixed,fixed
schnute_b,,
schnute_b_sd,,
schnute_b_se,,
schnute_b_min,,
schnute_b_max,,
schnute_b_dist,fixed,fixed
logistic_alpha,,
logistic_alpha_sd,,
logistic_alpha_se,,
logistic_alpha_min,,
logistic_alpha_max,,
logistic_alpha_dist,fixed,fixed
logistic_g,,
logistic_g_sd,,
logistic_g_se,,
logistic_g_min,,
logistic_g_max,,
logistic_g_dist,fixed,fixed
